VERSE,SCRIPTURE,LOD,TRANSLATION,FRUIT,CATEGORY
Acts 14:17,"Nevertheless he left not himself without witness, in that he did good, and gave us rain from heaven, and fruitful seasons, filling our hearts with food and gladness.",Intermediate,KJV,Goodness,
Romans 8:28,"And we know that all things work together for good to them that love God, to them who are the called according to his purpose.",Easy,KJV,Goodness,
Luke 6:27-28,"But I say unto you which hear, Love your enemies, do good to them which hate you, Bless them that curse you, and pray for them which despitefully use you.",Intermediate,KJV,Goodness,
James 1:2-3,"My brethren, count it all joy when ye fall into divers temptations; Knowing this, that the trying of your faith worketh patience.",Easy,KJV,Joy,
John 16:24,"Hitherto have ye asked nothing in my name: ask, and ye shall receive, that your joy may be full.",Easy,KJV,Joy,
Nehemiah 8 :10,"Then he said unto them, Go your way, eat the fat, and drink the sweet, and send portions unto them for whom nothing is prepared: for this day is holy unto our Lord: neither be ye sorry; for the joy of the Lord is your strength.",Intermediate,KJV,Joy,
Isaiah 35:10,"And the ransomed of the Lord shall return, and come to Zion with songs and everlasting joy upon their heads: they shall obtain joy and gladness, and sorrow and sighing shall flee away.",Intermediate,KJV,Joy,
Psalm 30:5,"For his anger endureth but a moment; in his favour is life: weeping may endure for a night, but joy cometh in the morning.",Easy,KJV,Joy,
Philippians 4:4,"Rejoice in the lord alway; and again, I say rejoice.",Easy,KJV,Joy,
Romans 14:17,"For the kingdom of God is not meat and drink; but righteousness, and peace, and joy in the Holy Ghost.",Easy,KJV,Joy,
John 16:22,"And ye now therefore have sorrow: but I will see you again, and your heart shall rejoice, and your joy no man taketh from you.",Intermediate,KJV,Joy,
Romans 5:3-5,"And not only so, but we glory in tribulations also: knowing that tribulation worketh patience; And patience, experience; and experience, hope: And hope maketh not ashamed; because the love of God is shed abroad in our hearts by the Holy Ghost which is given unto us.",Intermediate,KJV,Joy,
Psalm 16:11,Thou wilt shew me the path of life: in thy presence is fulness of joy; at thy right hand there are pleasures for evermore.,Intermediate,KJV,Joy,
Luke 15:6-7,"And when he cometh home, he calleth together his friends and neighbours, saying unto them, Rejoice with me; for I have found my sheep which was lost. I say unto you, that likewise joy shall be in heaven over one sinner that repenteth, more than over ninety and nine just persons, which need no repentance.",Difficult,KJV,Joy,
Romans 12:12,Rejoicing in hope; patient in tribulation; continuing instant in prayer;,Easy,KJV,Joy,
John 15:11,"These things have I spoken unto you, that my joy might remain in you, and that your joy might be full.",Easy,KJV,Joy,
Psalm 118:24,This is the day which the Lord hath made; we will rejoice and be glad in it.,Easy,KJV,Joy,
Proverbs 10:28,The hope of the righteous shall be gladness: but the expectation of the wicked shall perish.,Intermediate,KJV,Joy,
Psalm 71:23,"My lips shall greatly rejoice when I sing unto thee; and my soul, which thou hast redeemed.",Easy,KJV,Joy,
Zephaniah 3:17,"The Lord thy God in the midst of thee is mighty; he will save, he will rejoice over thee with joy; he will rest in his love, he will joy over thee with singing.",Intermediate,KJV,Joy,
Hebrews 12:2,"Looking unto Jesus the author and finisher of our faith; who for the joy that was set before him endured the cross, despising the shame, and is set down at the right hand of the throne of God.",Intermediate,KJV,Joy,
1 Thessalonians 5:16-18,Rejoice evermore. Pray without ceasing. In every thing give thanks: for this is the will of God in Christ Jesus concerning you.,Easy,KJV,Joy,
1 Chronicles 16:27,Glory and honour are in his presence; strength and gladness are in his place.,Easy,KJV,Joy,
Psalm 32:11,"Be glad in the Lord, and rejoice, ye righteous: and shout for joy, all ye that are upright in heart.",Easy,KJV,Joy,
Isaiah 55:12,"For ye shall go out with joy, and be led forth with peace: the mountains and the hills shall break forth before you into singing, and all the trees of the field shall clap their hands.",Intermediate,KJV,Joy,
Psalm 126:5,They that sow in tears shall reap in joy.,Easy,KJV,Joy,
Psalm 100:1,"Make a joyful noise unto the Lord, all ye lands.",Easy,KJV,Joy,
Jeremiah 15:16,"Thy words were found, and I did eat them; and thy word was unto me the joy and rejoicing of mine heart: for I am called by thy name, O Lord God of hosts.",Intermediate,KJV,Joy,
Proverbs 12:20,Deceit is in the heart of them that imagine evil: but to the counsellors of peace is joy.,Intermediate,KJV,Joy,
Hebrews 12:1,"Wherefore seeing we also are compassed about with so great a cloud of witnesses, let us lay aside every weight, and the sin which doth so easily beset us, and let us run with patience the race that is set before us.",Easy,KJV,Longsuffering,
2 Peter 3:9,"The Lord is not slack concerning his promise, as some men count slackness; but is longsuffering to us-ward, not willing that any should perish, but that all should come to repentance.",Intermediate,KJV,Longsuffering,
Romans 12:12,Rejoicing in hope; patient in tribulation; continuing instant in prayer.,Easy,KJV,Longsuffering,
Psalm 37:7-8,"Rest in the Lord, and wait patiently for him: fret not thyself because of him who prospereth in his way, because of the man who bringeth wicked devices to pass. Cease from anger, and forsake wrath: fret not thyself in any wise to do evil.",Intermediate,KJV,Longsuffering,
Proverbs 15:18,A wrathful man stirreth up strife: but he that is slow to anger appeaseth strife.,Easy,KJV,Longsuffering,
1 Corinthians 13:4,"Charity suffereth long, and is kind; charity envieth not; charity vaunteth not itself, is not puffed up.",Easy,KJV,Longsuffering,
Genesis 29:20A,"And Jacob served seven years for Rachel; and they seemed unto him but a few days, for the love he had to her.",Easy,KJV,Longsuffering,
Habakkuk 2:3,"For the vision is yet for an appointed time, but at the end it shall speak, and not lie: though it tarry, wait for it; because it will surely come, it will not tarry.",Intermediate,KJV,Longsuffering,
Psalm 27:14,"Wait on the Lord: be of good courage, and he shall strengthen thine heart: wait, I say, on the Lord.",Intermediate,KJV,Longsuffering,
Galatians 6:9,"And let us not be weary in well doing: for in due season we shall reap, if we faint not.",Intermediate,KJV,Longsuffering,
James 5:7-8,"Be patient therefore, brethren, unto the coming of the Lord. Behold, the husbandman waiteth for the precious fruit of the earth, and hath long patience for it, until he receive the early and latter rain. Be ye also patient; stablish your hearts: for the coming of the Lord draweth nigh.",Difficult,KJV,Longsuffering,
Numbers 14:18,"The Lord is longsuffering, and of great mercy, forgiving iniquity and transgression, and by no means clearing the guilty, visiting the iniquity of the fathers upon the children unto the third and fourth generation.",Difficult,KJV,Longsuffering,
Psalm 103:8,"The Lord is merciful and gracious, slow to anger, and plenteous in mercy.",Easy,KJV,Longsuffering,
Romans 9:22-23,"What if God, willing to shew his wrath, and to make his power known, endured with much longsuffering the vessels of wrath fitted to destruction: And that he might make known the riches of his glory on the vessels of mercy, which he had afore prepared unto glory.",Difficult,KJV,Longsuffering,
1 Timothy 1:16,"Howbeit for this cause I obtained mercy, that in me first Jesus Christ might shew forth all longsuffering, for a pattern to them which should hereafter believe on him to life everlasting.",Difficult,KJV,Longsuffering,
Revelation 6:10-11,"And they cried with a loud voice, saying, How long, O Lord, holy and true, dost thou not judge and avenge our blood on them that dwell on the earth? And white robes were given unto every one of them; and it was said unto them, that they should rest yet for a little season, until their fellowservants also and their brethren, that should be killed as they were, should be fulfilled.",Difficult,KJV,Longsuffering,
Ecclesiastes 7:8,Better is the end of a thing than the beginning thereof: and the patient in spirit is better than the proud in spirit.,Easy,KJV,Longsuffering,
Hebrews 10:36,"For ye have need of patience, that, after ye have done the will of God, ye might receive the promise.",Easy,KJV,Longsuffering,
Exodus 34:6,"And the Lord passed by before him, and proclaimed, The Lord, The Lord God, merciful and gracious, longsuffering, and abundant in goodness and truth.",Intermediate,KJV,Longsuffering,
1 Corinthians 13:4-8,"Charity suffereth long, and is kind; charity envieth not; charity vaunteth not itself, is not puffed up, Doth not behave itself unseemly, seeketh not her own, is not easily provoked, thinketh no evil; Rejoiceth not in iniquity, but rejoiceth in the truth; Beareth all things, believeth all things, hopeth all things, endureth all things. Charity never faileth.",Difficult,KJV,Love,
Matthew 22:37-40,"Jesus said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind. This is the first and great commandment. And the second is like unto it, Thou shalt love thy neighbour as thyself. On these two commandments hang all the law and the prophets.",Difficult,KJV,Love,
John 3:16,"For God so loved the world that he gave his only begotten son, that whosoever believes in him shall not perish, but have everlasting life.",Easy,KJV,Love,
John 15:13,"Greater love hath no man than this, that a man lay down his life for his friends.",Easy,KJV,Love,
Romans 13:8,"Owe no man any thing, but to love one another: for he that loveth another hath fulfilled the law.",Easy,KJV,Love,
Proverbs 10:12,Hatred stirreth up strifes: but love covereth all sins.,Easy,KJV,Love,
Colossian 3:14,"And above all these things put on charity, which is the bond of perfectness.",Easy,KJV,Love,
Proverbs 17:17,"A friend loveth at all times, and a brother is born for adversity.",Easy,KJV,Love,
Leviticus 19:18,"Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbour as thyself: I am the Lord.",Easy,KJV,Love,
Matthew 5:44,"But I say unto you, Love your enemies, bless them that curse you, do good to them that hate you, and pray for them which despitefully use you, and persecute you;",Easy,KJV,Love,
1 John 4:18,There is no fear in love; but perfect love casteth out fear: because fear hath torment. He that feareth is not made perfect in love.,Easy,KJV,Love,
1 Corinthians 13:13,"And now abideth faith, hope, charity, these three; but the greatest of these is charity.",Easy,KJV,Love,
1 John 4:16,"And we have known and believed the love that God hath to us. God is love; and he that dwelleth in love dwelleth in God, and God in him.",Easy,KJV,Love,
1 John 4:12,"No man hath seen God at any time. If we love one another, God dwelleth in us, and his love is perfected in us.",Easy,KJV,Love,
1 Peter 4:8,And above all things have fervent charity among yourselves: for charity shall cover the multitude of sins.,Intermediate,KJV,Love,
John 13:34,"A new commandment I give unto you, That ye love one another; as I have loved you, that ye also love one another.",Intermediate,KJV,Love,
Romans 12:9,Let love be without dissimulation. Abhor that which is evil; cleave to that which is good.,Intermediate,KJV,Love,
1 Corinthians 13:2,"And though I have the gift of prophecy, and understand all mysteries, and all knowledge; and though I have all faith, so that I could remove mountains, and have not charity, I am nothing.",Intermediate,KJV,Love,
Song of Solomon 8:6,"Set me as a seal upon thine heart, as a seal upon thine arm: for love is strong as death; jealousy is cruel as the grave: the coals thereof are coals of fire, which hath a most vehement flame.",Intermediate,KJV,Love,
Psalm 37:11,Blessed are the meek: for they shall inherit the earth.,Easy,KJV,Meekness,
James 3:13,But the meek shall inherit the earth; and shall delight themselves in the abundance of peace.,Easy,KJV,Meekness,
Matthew 11:29,Who is a wise man and endued with knowledge among you? let him shew out of a good conversation his works with meekness of wisdom.,Intermediate,KJV,Meekness,
Psalm 25:9,"Take my yoke upon you, and learn of me; for I am meek and lowly in heart: and ye shall find rest unto your souls.",Easy,KJV,Meekness,
Numbers 12:3,The meek will he guide in judgment: and the meek will he teach his way.,Easy,KJV,Meekness,
James 1:21,"Now the man Moses was very meek, above all the men which were upon the face of the earth.",Easy,KJV,Meekness,
Psalm 147:6,"Wherefore lay apart all filthiness and superfluity of naughtiness, and receive with meekness the engrafted word, which is able to save your souls.",Difficult,KJV,Meekness,
1 John 5:4,The Lord lifteth up the meek: he casteth the wicked down to the ground.,Easy,KJV,Meekness,
Isaiah 29:19,"The meek also shall increase their joy in the Lord, and the poor among men shall rejoice in the Holy One of Israel.",Intermediate,KJV,Meekness,
Ecclesiastes 10:4,"If the spirit of the ruler rise up against thee, leave not thy place; for yielding pacifieth great offences.",Intermediate,KJV,Meekness,
Matthew 23:11,But he that is greatest among you shall be your servant.,Easy,KJV,Meekness,
Isaiah 66:2,"For all those things hath mine hand made, and all those things have been, saith the Lord: but to this man will I look, even to him that is poor and of a contrite spirit, and trembleth at my word.",Difficult,KJV,Meekness,
James 4:6,"But he giveth more grace. Wherefore he saith, God resisteth the proud, but giveth grace unto the humble.",Intermediate,KJV,Meekness,
Titus 3:1-2,"Put them in mind to be subject to principalities and powers, to obey magistrates, to be ready to every good work, To speak evil of no man, to be no brawlers, but gentle, shewing all meekness unto all men.",Difficult,KJV,Meekness,
Isaiah 53&,"He was oppressed, and he was afflicted, yet he opened not his mouth: he is brought as a lamb to the slaughter, and as a sheep before her shearers is dumb, so he openeth not his mouth.",Intermediate,KJV,Meekness,
Phillippians 4:6-7,"Be careful for nothing. but in everything by prayer & supplication, with thanksgiving, let your requests be made known unto god. ANd the peace of god which surpasses all understanding shall keep your hearts & minds through christ jesus.",Intermediate,KJV,Peace,
John 14:27,"Peace I leave with you, my peace I give unto you: not as the world giveth, give I unto you. Let not your heart be troubled, neither let it be afraid.",Easy,KJV,Peace,
Isaiah 26:3,"Thou wilt keep him in perfect peace, whose mind is stayed on thee: because he trusteth in thee.",Easy,KJV,Peace,
2 Thessalonians 3:16,Now the Lord of peace himself give you peace always by all means. The Lord be with you all.,Easy,KJV,Peace,
Psalm 4:8,"I will both lay me down in peace, and sleep: for thou, Lord, only makest me dwell in safety.",Easy,KJV,Peace,
Romans 5:1,"Therefore being justified by faith, we have peace with God through our Lord Jesus Christ.",Intermediate,KJV,Peace,
Colossians 3:15,"And let the peace of God rule in your hearts, to the which also ye are called in one body; and be ye thankful.",Intermediate,KJV,Peace,
Psalm 34:14,"Depart from evil, and do good. seek peace, and pursue it.",Easy,KJV,Peace,
Proverbs 16:7,"When a man's ways please the Lord, he maketh even his enemies to be at peace with him.",Intermediate,KJV,Peace,
John 20:21,"Then said Jesus to them again, Peace be unto you: as my Father hath sent me, even so send I you.",Intermediate,KJV,Peace,
Mark 4:39,"And he arose, and rebuked the wind, and said unto the sea, Peace, be still. And the wind ceased, and there was a great calm.",Difficult,KJV,Peace,
Matthew 5:9,Blessed are the peacemakers: for they shall be called the children of God.,Easy,KJV,Peace,
Hebrews 12:14,"Follow peace with all men, and holiness, without which no man shall see the Lord.",Intermediate,KJV,Peace,
1 Corinthians 14:33,"For God is not the author of confusion, but of peace, as in all churches of the saints.",Intermediate,KJV,Peace,
James 3:17,"But the wisdom that is from above is first pure, then peaceable, gentle, and easy to be intreated, full of mercy and good fruits, without partiality, and without hypocrisy.",Difficult,KJV,Peace,
Romans 8:6,For to be carnally minded is death; but to be spiritually minded is life and peace.,Easy,KJV,Peace,
Psalm 29:11,The Lord will give strength unto his people; the Lord will bless his people with peace.,Easy,KJV,Peace,
Romans 12:18,"If it be possible, as much as lieth in you, live peaceably with all men.",Easy,KJV,Peace,
Proverbs 16:32,He that is slow to anger is better than the mighty; and he that ruleth his spirit than he that taketh a city.,Easy,KJV,Temperance,
Romans 8:13,"For if ye live after the flesh, ye shall die: but if ye through the Spirit do mortify the deeds of the body, ye shall live.",Easy,KJV,Temperance,
Proverbs 25:28,"He that hath no rule over his own spirit is like a city that is broken down, and without walls.",Easy,KJV,Temperance,
Romans 8:6,For to be carnally minded is death; but to be spiritually minded is life and peace.,Easy,KJV,Temperance,
1 Peter 1:15,"But as he which hath called you is holy, so be ye holy in all manner of conversation.",Easy,KJV,Temperance,
2 Timothy 1:7,"For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind.",Easy,KJV,Temperance,
Colossians 3:5,"Mortify therefore your members which are upon the earth; fornication, uncleanness, inordinate affection, evil concupiscence, and covetousness, which is idolatry:",Intermediate,KJV,Temperance,
Romans 14:21,"It is good neither to eat flesh, nor to drink wine, nor any thing whereby thy brother stumbleth, or is offended, or is made weak.",Difficult,KJV,Temperance,
Galatians 5:23,"Meekness, temperance: against such there is no law.",Easy,KJV,Temperance,
1 Corinthians 9:25-27,"And every man that striveth for the mastery is temperate in all things. Now they do it to obtain a corruptible crown; but we an incorruptible. I therefore so run, not as uncertainly; so fight I, not as one that beateth the air: But I keep under my body, and bring it into subjection: lest that by any means, when I have preached to others, I myself should be a castaway.",Difficult,KJV,Temperance,
Proverbs 23:1-3,"When thou sittest to eat with a ruler, consider diligently what is before thee: And put a knife to thy throat, if thou be a man given to appetite. Be not desirous of his dainties: for they are deceitful meat.",Difficult,KJV,Temperance,
Galatians 5:16,"This I say then, Walk in the Spirit, and ye shall not fulfil the lust of the flesh.",Easy,KJV,Temperance,
2 Peter 1:5-6,"And beside this, giving all diligence, add to your faith virtue; and to virtue knowledge; And to knowledge temperance; and to temperance patience; and to patience godliness;",Difficult,KJV,Temperance,
Titus 2:12,"Teaching us that, denying unGodliness and worldly lusts, we should live soberly, righteously, and godly, in this present world.",Intermediate,KJV,Temperance,
Romans 13:14,"But put ye on the Lord Jesus Christ, and make not provision for the flesh, to fulfil the lusts thereof.",Intermediate,KJV,Temperance,
Philippians 4:5,Let your moderation be known unto all men. The Lord is at hand.,Intermediate,KJV,Temperance,
Proverbs 25:16,"Hast thou found honey? eat so much as is sufficient for thee, lest thou be filled therewith, and vomit it.",Difficult,KJV,Temperance,
Ecclesiastes 7:9,Be not hasty in thy spirit to be angry: for anger resteth in the bosom of fools.,Easy,KJV,Temperance,
Titus 2:2,"That the aged men be sober, grave, temperate, sound in faith, in charity, in patience.",Intermediate,KJV,Temperance,
