QUESTIONS,ANSWER,LOD,TRANSLATION,FRUIT,CATEGORY
"But the wisdom that is from above is first pure, then peaceable, gentle, and easy to be intreated, full of mercy and good fruits, without partiality, and without hypocrisy.",James 3:17,Difficult,KJV,Peace,
For to be carnally minded is death; but to be spiritually minded is life and peace.,Romans 8:6,Easy,KJV,Peace,
The Lord will give strength unto his people; the Lord will bless his people with peace.,Psalm 29:11,Easy,KJV,Peace,
"If it be possible, as much as lieth in you, live peaceably with all men.",Romans 12:18,Easy,KJV,Peace,
He that is slow to anger is better than the mighty; and he that ruleth his spirit than he that taketh a city.,Proverbs 16:32,Easy,KJV,Temperance,
"For if ye live after the flesh, ye shall die: but if ye through the Spirit do mortify the deeds of the body, ye shall live.",Romans 8:13,Easy,KJV,Temperance,
"He that hath no rule over his own spirit is like a city that is broken down, and without walls.",Proverbs 25:28,Easy,KJV,Temperance,
For to be carnally minded is death; but to be spiritually minded is life and peace.,Romans 8:6,Easy,KJV,Temperance,
"But as he which hath called you is holy, so be ye holy in all manner of conversation.",1 Peter 1:15,Easy,KJV,Temperance,
"For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind.",2 Timothy 1:7,Easy,KJV,Temperance,
"Mortify therefore your members which are upon the earth; fornication, uncleanness, inordinate affection, evil concupiscence, and covetousness, which is idolatry:",Colossians 3:5,Intermediate,KJV,Temperance,
"It is good neither to eat flesh, nor to drink wine, nor any thing whereby thy brother stumbleth, or is offended, or is made weak.",Romans 14:21,Difficult,KJV,Temperance,
"Meekness, temperance: against such there is no law.",Galatians 5:23,Easy,KJV,Temperance,
"And every man that striveth for the mastery is temperate in all things. Now they do it to obtain a corruptible crown; but we an incorruptible. I therefore so run, not as uncertainly; so fight I, not as one that beateth the air: But I keep under my body, and bring it into subjection: lest that by any means, when I have preached to others, I myself should be a castaway.",1 Corinthians 9:25-27,Difficult,KJV,Temperance,
"When thou sittest to eat with a ruler, consider diligently what is before thee: And put a knife to thy throat, if thou be a man given to appetite. Be not desirous of his dainties: for they are deceitful meat.",Proverbs 23:1-3,Difficult,KJV,Temperance,
"This I say then, Walk in the Spirit, and ye shall not fulfil the lust of the flesh.",Galatians 5:16,Easy,KJV,Temperance,
"And beside this, giving all diligence, add to your faith virtue; and to virtue knowledge; And to knowledge temperance; and to temperance patience; and to patience godliness;",2 Peter 1:5-6,Difficult,KJV,Temperance,
"Teaching us that, denying unGodliness and worldly lusts, we should live soberly, righteously, and godly, in this present world.",Titus 2:12,Intermediate,KJV,Temperance,
"But put ye on the Lord Jesus Christ, and make not provision for the flesh, to fulfil the lusts thereof.",Romans 13:14,Intermediate,KJV,Temperance,
Let your moderation be known unto all men. The Lord is at hand.,Philippians 4:5,Intermediate,KJV,Temperance,
"Hast thou found honey? eat so much as is sufficient for thee, lest thou be filled therewith, and vomit it.",Proverbs 25:16,Difficult,KJV,Temperance,
Be not hasty in thy spirit to be angry: for anger resteth in the bosom of fools.,Ecclesiastes 7:9,Easy,KJV,Temperance,
"That the aged men be sober, grave, temperate, sound in faith, in charity, in patience.",Titus 2:2,Intermediate,KJV,Temperance,
"I had fainted, unless I had believed to see the goodness of the Lord in the land of the living. Wait on the Lord: be of good courage, and he shall strengthen thine heart: wait, I say, on the Lord.",Psalm 27:13-14,Intermediate,KJV,Goodness,
Surely goodness and mercy shall follow me all the days of my life: and I will dwell in the house of the Lord for ever.,Psalm 23:6,Easy,KJV,Goodness,
The Lord is good to all: and his tender mercies are over all his works.,Psalm 145:9,Easy,KJV,Goodness,
"And Jesus said unto him, Why callest thou me good? there is none good but one, that is, God.",Mark 10:18,Easy,KJV,Goodness,
"Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning.",James 1:17,Intermediate,KJV,Goodness,
"If ye then, being evil, know how to give good gifts unto your children, how much more shall your Father which is in heaven give good things to them that ask him?",Matthew 7:11,Intermediate,KJV,Goodness,
He loveth righteousness and judgment: the earth is full of the goodness of the Lord.,Psalm 33:5,Easy,KJV,Goodness,
"Oh that men would praise the Lord for his goodness, and for his wonderful works to the children of men! For he satisfieth the longing soul, and filleth the hungry soul with goodness.",Psalm 107:8-9,Intermediate,KJV,Goodness,
"Thou gavest also thy good spirit to instruct them, and withheldest not thy manna from their mouth, and gavest them water for their thirst.",Nehemiah 9:20,Intermediate,KJV,Goodness,
"The Lord is good, a strong hold in the day of trouble; and he knoweth them that trust in him.",Nahum 1:7,Easy,KJV,Goodness,
"Oh how great is thy goodness, which thou hast laid up for them that fear thee; which thou hast wrought for them that trust in thee before the sons of men! Thou shalt hide them in the secret of thy presence from the pride of man: thou shalt keep them secretly in a pavilion from the strife of tongues.",Psalm 31:19-20,Difficult,KJV,Goodness,
"O my soul, thou hast said unto the Lord, Thou art my Lord: my goodness extendeth not to thee;",Psalm 16:2,Difficult,KJV,Goodness,
O taste and see that the Lord is good: blessed is the man that trusteth in him.,Psalm 34:8,Easy,KJV,Goodness,
For the Lord God is a sun and shield: the Lord will give grace and glory: no good thing will he withhold from them that walk uprightly.,Psalm 84:11,Intermediate,KJV,Goodness,
"For thou, Lord, art good, and ready to forgive; and plenteous in mercy unto all them that call upon thee.",Psalm 86:5,Easy,KJV,Goodness,
"But love ye your enemies, and do good, and lend, hoping for nothing again; and your reward shall be great, and ye shall be the children of the Highest: for he is kind unto the unthankful and to the evil.",Luke 6:35,Difficult,KJV,Goodness,
"Nevertheless he left not himself without witness, in that he did good, and gave us rain from heaven, and fruitful seasons, filling our hearts with food and gladness.",Acts 14:17,Intermediate,KJV,Goodness,
"And we know that all things work together for good to them that love God, to them who are the called according to his purpose.",Romans 8:28,Easy,KJV,Goodness,
"But I say unto you which hear, Love your enemies, do good to them which hate you, Bless them that curse you, and pray for them which despitefully use you.",Luke 6:27-28,Intermediate,KJV,Goodness,
A soft answer turneth away wrath: but grievous words stir up anger.,Proverbs 15:1,Easy,KJV,Gentleness,
"Pleasant words are as an honeycomb, sweet to the soul, and health to the bones.",Proverbs 16:25,Easy,KJV,Gentleness,
 But sanctify the Lord God in your hearts: and be ready always to give an answer to every man that asketh you a reason of the hope that is in you with meekness and fear:,1 Peter 3:15,Intermediate,KJV,Gentleness,
"Put on therefore, as the elect of God, holy and beloved, bowels of mercies, kindness, humbleness of mind, meekness, longsuffering.",Colossians 3:12,Intermediate,KJV,Gentleness,
"To speak evil of no man, to be no brawlers, but gentle, shewing all meekness unto all men.",Titus 3:2,Easy,KJV,Gentleness,
"With all lowliness and meekness, with longsuffering, forbearing one another in love.",Ephesians 4:2,Intermediate,KJV,Gentleness,
"But thou, O man of God, flee these things; and follow after righteousness, godliness, faith, love, patience, meekness.",1 Timothy 6:11,Easy,KJV,Gentleness,
"But let it be the hidden man of the heart, in that which is not corruptible, even the ornament of a meek and quiet spirit, which is in the sight of God of great price.",1 Peter 3:4,Difficult,KJV,Gentleness,
"Take my yoke upon you, and learn of me; for I am meek and lowly in heart: and ye shall find rest unto your souls. For my yoke is easy, and my burden is light.",Matthew 11:29-30,Intermediate,KJV,Gentleness,
"By long forbearing is a prince persuaded, and a soft tongue breaketh the bone.",Proverbs 25:15,Difficult,KJV,Gentleness,
And after the earthquake a fire; but the Lord was not in the fire: and after the fire a still small voice.,1 Kings 19:12,Intermediate,KJV,Gentleness,
"Brethren, if a man be overtaken in a fault, ye which are spiritual, restore such an one in the spirit of meekness; considering thyself, lest thou also be tempted.",Galatians 6:1,Intermediate,KJV,Gentleness,
"And the servant of the Lord must not strive; but be gentle unto all men, apt to teach, patient, in meekness instructing those that oppose themselves; if God peradventure will give them repentance to the acknowledging of the truth.",2 Timothy 2:24-25,Difficult,KJV,Gentleness,
"Wherefore seeing we also are compassed about with so great a cloud of witnesses, let us lay aside every weight, and the sin which doth so easily beset us, and let us run with patience the race that is set before us.",Hebrews 12:1,Easy,KJV,Longsuffering,
"The Lord is not slack concerning his promise, as some men count slackness; but is longsuffering to us-ward, not willing that any should perish, but that all should come to repentance.",2 Peter 3:9,Intermediate,KJV,Longsuffering,
Rejoicing in hope; patient in tribulation; continuing instant in prayer.,Romans 12:12,Easy,KJV,Longsuffering,
"Rest in the Lord, and wait patiently for him: fret not thyself because of him who prospereth in his way, because of the man who bringeth wicked devices to pass. Cease from anger, and forsake wrath: fret not thyself in any wise to do evil.",Psalm 37:7-8,Intermediate,KJV,Longsuffering,
A wrathful man stirreth up strife: but he that is slow to anger appeaseth strife.,Proverbs 15:18,Easy,KJV,Longsuffering,
"Charity suffereth long, and is kind; charity envieth not; charity vaunteth not itself, is not puffed up.",1 Corinthians 13:4,Easy,KJV,Longsuffering,
"And Jacob served seven years for Rachel; and they seemed unto him but a few days, for the love he had to her.",Genesis 29:20A,Easy,KJV,Longsuffering,
"For the vision is yet for an appointed time, but at the end it shall speak, and not lie: though it tarry, wait for it; because it will surely come, it will not tarry.",Habakkuk 2:3,Intermediate,KJV,Longsuffering,
"Wait on the Lord: be of good courage, and he shall strengthen thine heart: wait, I say, on the Lord.",Psalm 27:14,Intermediate,KJV,Longsuffering,
"And let us not be weary in well doing: for in due season we shall reap, if we faint not.",Galatians 6:9,Intermediate,KJV,Longsuffering,
"Be patient therefore, brethren, unto the coming of the Lord. Behold, the husbandman waiteth for the precious fruit of the earth, and hath long patience for it, until he receive the early and latter rain. Be ye also patient; stablish your hearts: for the coming of the Lord draweth nigh.",James 5:7-8,Difficult,KJV,Longsuffering,
"The Lord is longsuffering, and of great mercy, forgiving iniquity and transgression, and by no means clearing the guilty, visiting the iniquity of the fathers upon the children unto the third and fourth generation.",Numbers 14:18,Difficult,KJV,Longsuffering,
"The Lord is merciful and gracious, slow to anger, and plenteous in mercy.",Psalm 103:8,Easy,KJV,Longsuffering,
"What if God, willing to shew his wrath, and to make his power known, endured with much longsuffering the vessels of wrath fitted to destruction: And that he might make known the riches of his glory on the vessels of mercy, which he had afore prepared unto glory.",Romans 9:22-23,Difficult,KJV,Longsuffering,
"Howbeit for this cause I obtained mercy, that in me first Jesus Christ might shew forth all longsuffering, for a pattern to them which should hereafter believe on him to life everlasting.",1 Timothy 1:16,Difficult,KJV,Longsuffering,
"And they cried with a loud voice, saying, How long, O Lord, holy and true, dost thou not judge and avenge our blood on them that dwell on the earth? And white robes were given unto every one of them; and it was said unto them, that they should rest yet for a little season, until their fellowservants also and their brethren, that should be killed as they were, should be fulfilled.",Revelation 6:10-11,Difficult,KJV,Longsuffering,
Better is the end of a thing than the beginning thereof: and the patient in spirit is better than the proud in spirit.,Ecclesiastes 7:8,Easy,KJV,Longsuffering,
"For ye have need of patience, that, after ye have done the will of God, ye might receive the promise.",Hebrews 10:36,Easy,KJV,Longsuffering,
"And the Lord passed by before him, and proclaimed, The Lord, The Lord God, merciful and gracious, longsuffering, and abundant in goodness and truth.",Exodus 34:6,Intermediate,KJV,Longsuffering,
Blessed are the meek: for they shall inherit the earth.,Psalm 37:11,Easy,KJV,Meekness,
But the meek shall inherit the earth; and shall delight themselves in the abundance of peace.,James 3:13,Easy,KJV,Meekness,
Who is a wise man and endued with knowledge among you? let him shew out of a good conversation his works with meekness of wisdom.,Matthew 11:29,Intermediate,KJV,Meekness,
"Take my yoke upon you, and learn of me; for I am meek and lowly in heart: and ye shall find rest unto your souls.",Psalm 25:9,Easy,KJV,Meekness,
The meek will he guide in judgment: and the meek will he teach his way.,Numbers 12:3,Easy,KJV,Meekness,
"Now the man Moses was very meek, above all the men which were upon the face of the earth.",James 1:21,Easy,KJV,Meekness,
"Wherefore lay apart all filthiness and superfluity of naughtiness, and receive with meekness the engrafted word, which is able to save your souls.",Psalm 147:6,Difficult,KJV,Meekness,
The Lord lifteth up the meek: he casteth the wicked down to the ground.,1 John 5:4,Easy,KJV,Meekness,
"The meek also shall increase their joy in the Lord, and the poor among men shall rejoice in the Holy One of Israel.",Isaiah 29:19,Intermediate,KJV,Meekness,
"If the spirit of the ruler rise up against thee, leave not thy place; for yielding pacifieth great offences.",Ecclesiastes 10:4,Intermediate,KJV,Meekness,
But he that is greatest among you shall be your servant.,Matthew 23:11,Easy,KJV,Meekness,
"For all those things hath mine hand made, and all those things have been, saith the Lord: but to this man will I look, even to him that is poor and of a contrite spirit, and trembleth at my word.",Isaiah 66:2,Difficult,KJV,Meekness,
"But he giveth more grace. Wherefore he saith, God resisteth the proud, but giveth grace unto the humble.",James 4:6,Intermediate,KJV,Meekness,
"Put them in mind to be subject to principalities and powers, to obey magistrates, to be ready to every good work, To speak evil of no man, to be no brawlers, but gentle, shewing all meekness unto all men.",Titus 3:1-2,Difficult,KJV,Meekness,
"He was oppressed, and he was afflicted, yet he opened not his mouth: he is brought as a lamb to the slaughter, and as a sheep before her shearers is dumb, so he openeth not his mouth.",Isaiah 53&,Intermediate,KJV,Meekness,
